secretary,2023-03-23,hong kong,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Hong-Kong/Secretary_R234483
credit controller assistant,2023-03-15,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Credit-Controller-Assistant_R00008703-1
document automation intern,2023-03-21,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Document-Automation-Intern_R00008751
sr. associate-qa compliance,2023-03-24,united states of america,https://lilly.wd5.myworkdayjobs.com/LLY/job/US-Branchburg-NJ/Sr-Associate-QA-Compliance_R-47143
"manager, d&a compliance",2023-03-21,hong kong,https://refinitiv.wd3.myworkdayjobs.com/Careers/job/HKG-Central-ICBC-Tower/Manager--D-A-Compliance_R0069039
assistant legal counsel,2023-03-22,hong kong,https://fwd.wd3.myworkdayjobs.com/FWDcareersite/job/Hong-Kong---HK-Office/Legal-Counsel_R-0017194
global quality compliance auditor,2023-03-27,china,https://lonza.wd3.myworkdayjobs.com/Lonza_Careers/job/CN---Nansha/Global-Quality-Compliance-Auditor_R51799
"vice president/ assistant vice president (legal - litigation) ??®¨C listing, listed issuer regulation",2023-03-23,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Vice-President--Assistant-Vice-President--Legal---Litigation----Listing--Listed-Issuer-Regulation_IRC23199
it compliance & risk management - associate -  it,2023-03-24,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TKO-5F/IT-Compliance---Risk-Management---IT---Associate_IRC29660
customer administrator (12-month contract),2023-03-24,china,https://pernodricard.wd3.myworkdayjobs.com/pernod-ricard/job/Hong-Kong/Contract-Customer-Administrator_JR-034089-1
communications coordinator (6 months contract),2023-02-24,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Commucations-Coordinator_JR00011186
"cataloguer, wine (1 year contract)",2023-02-24,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Cataloguer--Wine--1-year-contract-_JR00011209
client services officer (1 year contract),2023-03-13,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Client-Services-Officer--1-year-contract-_JR00011268
pr manager (4 months contract),2023-03-01,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Editorial-Manager--4-months-contract-_JR00011153
temporary client services officer (3 months contract),2023-03-22,united kingdom,https://christies.wd3.myworkdayjobs.com/Christies_Careers/job/Hong-Kong/Temporary-Client-Services-Officer--3-months-contract-_JR00011292
finance compliance supervisor,2018/5/9,china,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/China---Beijing---Beijing/Finance-Compliance-Supervisor_4702404
"director, group compliance",2020/12/4,hong kong,https://fwd.wd3.myworkdayjobs.com/FWDcareersite/job/Hong-Kong---Group-Office/Director--Group-Compliance_R-0008948-3
"legal counsel, legal, pvh china",2021/3/26,china,https://pvh.wd1.myworkdayjobs.com/PVH_Careers/job/Shanghai/Legal-Counsel--Legal--PVH-China_R21255
"senior paralegal, legal, pvh china",2021/8/3,china,https://pvh.wd1.myworkdayjobs.com/PVH_Careers/job/Shanghai/Senior-Paralegal--Legal--PVH-China_R23680
"contract assistant manager, supply planning, asia pacific",2021/9/8,hong kong,https://pvh.wd1.myworkdayjobs.com/PVH_Careers/job/Hong-Kong/Contract-Assistant-Manager--Supply-Planning--Asia-Pacific_R24642
qeelin contract sales associate (4-5 months),2021/12/10,hong kong sar,https://kering.wd3.myworkdayjobs.com/Kering/job/Hong-Kong/QEELIN-Contract-Sales-Associate--4-5-months-_R072202-2
compliance & reporting accounts analyst,2022/3/31,malaysia,https://plexus.wd5.myworkdayjobs.com/Plexus_Careers/job/Penang-Malaysia/Compliance---Reporting-Accounts-Analyst_R002749
commercial compliance and governance,2022/4/24,china,https://jci.wd5.myworkdayjobs.com/JCI/job/Shanghai-Shanghai-China/Commercial-Compliance-and-Governance_WD30141667
"procurement specialist, contract mgmt",2022/6/8,china,https://wd1.myworkdaysite.com/recruiting/abinbev/CHN/job/Office-Xiamen1/Procurement-Specialist--Contract-Mgmt_30008275
bottega veneta bd executive,2022/6/8,mainland china,https://kering.wd3.myworkdayjobs.com/Kering/job/Shanghai/BOTTEGA-VENETA-Retail-Operations-Executive_R085815
accountant legal entity,2022/7/14,china,https://cat.wd5.myworkdayjobs.com/CaterpillarCareers/job/Tianjin-Tianjin/Accountant-Legal-Entity_R0000131199
intern,2022/8/17,china,https://hoganlovells.wd3.myworkdayjobs.com/Search/job/Shanghai/Intern_R222656
"manager, corporate legal",2022/9/5,china,https://averis.wd3.myworkdayjobs.com/RGE/job/Suqian/Manager--Corporate-Legal_R116654
legal counsel,2022/10/24,china,https://rollsroyce.wd3.myworkdayjobs.com/professional/job/Shanghai/Legal-Counsel_JR6098791
_ass.) legal counsel - shanghai research center,2022/10/28,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/Legal-Counsel_R14432
china commercial counsel,2022/11/7,china,https://ascential.wd3.myworkdayjobs.com/ASC/job/Shanghai---Garden-Square/China-Commercial-Counsel_R9022
"senior legal director, international games",2022/12/9,united kingdom,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/UK-London/Senior-Legal-Director--International-Games_5419970002-1
compliance manager,2022/12/15,china,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/China/Compliance-Manager_R-154818
(senior) qa compliance manager,2022/12/15,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/XMLNAME--Senior--QA-Compliance-Manager_R16855-3
